Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region,brand,Order,sneaker,sale_average
, Yeezy,350-V2-Beluga-2pt0,350,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,390,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,400,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,330,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,330,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,368,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,326,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,360,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,347,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,345,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,378,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,353,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,364,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,349,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,355,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,365,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,385,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,326,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,357,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,372,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,378,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,353,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,331,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,350,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,353,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,351,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,378,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,350,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,375,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,338,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,359,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,353,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,322,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,339,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,350,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,380,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,352,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,362,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,391,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,390,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,390,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,342,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,327,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,330,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,355,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,385,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,331,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,365,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,345,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,335,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,352,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,358,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,355,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,385,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,362,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Blue-Tint,329,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Core-Black-Red,852,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Core-Black-Red-2017,827,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Core-Black-Red-2017,830,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Core-Black-White,720,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Cream-White,488,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Cream-White,519,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Cream-White,440,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Cream-White,500,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Cream-White,420,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Semi-Frozen-Yellow,698,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Semi-Frozen-Yellow,550,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Semi-Frozen-Yellow,755,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Semi-Frozen-Yellow,650,220,,,,Adidas,15-Jan,,
