Brand,Sneaker,Sale,Retail,Order
 Yeezy,350-V2-Beluga-2pt0,$385,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$375,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$383,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$405,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$398,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$403,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$380,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$355,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$401,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$300,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$375,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$350,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$368,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$346,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$394,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$369,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$362,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$369,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$399,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$366,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$363,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$330,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$390,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$363,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$349,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$324,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$353,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$359,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$364,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$325,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$385,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$332,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$351,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$350,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$394,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$380,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$390,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$330,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$390,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$375,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,17-Jan
